User,Comment,Likes,Published At,Time Ago
@johnolivertv7998,"ğŸ›‘Help youtube channelğŸ›‘ 
ğŸ›‘ğŸ’¥âœ” Donate to this channel: https://paypal.me/PoliceChase",2,2022-03-04T11:52:32Z,2022-03-04T11:52:32Z
@whateverIFeelLike,What sing was used for the end?,0,2022-11-16T13:18:52Z,2022-11-16T13:18:52Z
@whateverIFeelLike,I'd honestly just watch the cherries with that music,1,2022-11-16T13:18:29Z,2022-11-16T13:18:29Z
@LadyZubat,Using 4 and 1/2 minutes of cherries to get the to the 10 minute mark just to make some ad money...,0,2022-07-12T07:20:58Z,2022-07-12T07:20:58Z
@kazuma7232,Newman!,0,2022-06-12T01:05:54Z,2022-06-12T01:05:54Z
@meeklyopinionated,What happened to the rest of video,0,2022-06-01T18:20:33Z,2022-06-01T18:20:33Z
@MR-tt7jq,Hjhbf,0,2022-03-24T21:39:18Z,2022-03-24T21:39:18Z
@johnnys8822,"When will this liberal simps show be canceled,  Not funny, All canned laughs.",0,2022-02-20T14:40:56Z,2022-02-20T14:40:56Z
@desireeespinosa3954,Even 60 days is NOTHING compared to what I or any of my brown brothers or sisters would have gotten,23,2022-02-13T08:08:17Z,2022-02-13T08:08:17Z
@rickwyant,"This guy is a nobody, a clown, a jester.  About as funny as a heart attack.  Who watches these late night guys?  I mean seriously get a life.",0,2022-02-12T17:26:57Z,2022-02-12T17:26:57Z
@rynogames6268,Came for John Oliver. Stated for the cherries.,9,2022-02-12T15:53:41Z,2022-02-12T15:53:41Z
@arthurengland90,I'm in the pro-cherry camp.,0,2022-02-03T05:58:00Z,2022-02-03T05:58:00Z
@richardrose7382,By the way; I watch YOUR videos on YouTube!,1,2022-02-02T03:28:20Z,2022-02-02T03:28:20Z
@billhause,John Oliver ROFLMAO The Insurrection NOT FUNNY JERKS,0,2022-01-29T00:45:51Z,2022-01-29T00:45:51Z
@forrestcard8810,Jean-Paul Charles Aymard Sartre said it first,0,2022-01-28T02:39:58Z,2022-01-28T02:39:58Z
@gsp4prez,"Jenna Ryan looks like the middle aged white woman who drinks white wine in the morning, while abusing servers at Applebeeâ€™s, crying herself to sleep because her son Skylar wants to be a SoundCloud rapper.",14,2022-01-15T14:21:30Z,2022-01-15T14:21:30Z
@jayperez4943,"LMAO!!!!!!! omg John and staff have lost their minds, F@#$ing cherries",0,2022-01-15T06:39:32Z,2022-01-15T06:40:14Z
@jeremyjohnson2466,Love the cherry transition,3,2022-01-14T02:49:52Z,2022-01-14T02:49:52Z
@smallmindzbigthought,As i sat pondering what had made me stuffmy manhood inside of #JENNARYAN I asked my buddy for a napkin cuz my MELTING #KLONDIKEBAR was ruining my shirt,0,2022-01-13T09:22:17Z,2022-01-13T09:23:02Z
@unbroken1010,Are cherries a symbol for Teabagging?,2,2022-01-11T10:28:58Z,2022-01-11T10:28:58Z
@unbroken1010,"There was no inssurrection..  Watching Kamala Harris compare it to 9/11  ww2, and Pearl Harbor was pretty embarrassing and disturbing. Can't believe they in charge. We need a 3rd party now. Shame our political parasites won't let it happen.",0,2022-01-11T10:26:54Z,2022-01-11T10:26:54Z
@carsonkahla9162,Those are some erotic cherriesğŸ˜ğŸ˜,0,2022-01-09T00:53:19Z,2022-01-09T00:53:19Z
@Mars10999,wtf cherries!?!,1,2022-01-06T08:54:30Z,2022-01-06T08:54:30Z
@robertnewell4054,*ğŸ‡ºğŸ‡¸Happy Capital Storminâ€™ Day 2022ğŸ‡ºğŸ‡¸*,1,2022-01-05T23:40:54Z,2022-01-05T23:40:54Z
@danielgarrett7226,"Why are there sensual cherries? I mean I get that there's cherries, but sensual?",2,2022-01-04T22:08:26Z,2022-01-04T22:08:26Z
@jamesegan8184,at about 4 minutes in it moves into music and a picture of cherries,8,2022-01-02T06:23:07Z,2022-01-02T06:23:07Z
@charlotteeberhardt6015,That cherry track go hard tho',1,2021-12-28T13:38:12Z,2021-12-28T13:38:12Z
@Thatbitch_93,Ahhhhh the damn cherries again,1,2021-12-26T18:07:19Z,2021-12-26T18:07:19Z
@stillhere1425,Whatâ€™s with the effin cherries? All the time with the dam cherries.,7,2021-12-18T20:12:48Z,2021-12-18T20:12:48Z
@markknecht3909,Does this woman think #GetHard was a documentary?,2,2021-12-14T10:29:59Z,2021-12-14T10:29:59Z
@stellamaris5405,"â˜˜ï¸ I sat there waiting for the *skip ad* part & it never came. Cherries?
That was a real *anticlimax*",24,2021-12-04T07:23:19Z,2021-12-04T07:24:15Z
@camcherry1496,Hell is cherries,0,2021-12-02T22:44:14Z,2021-12-02T22:44:14Z
@BarbaraMatteau,Is anything happening after the cherries?,4,2021-12-02T11:49:58Z,2021-12-02T11:49:58Z
@connordillon4848,Whatâ€™s upa witha cherries,1,2021-11-30T10:57:29Z,2021-11-30T10:57:29Z
@mattmiller3253,Why Cherries???,1,2021-11-29T14:23:02Z,2021-11-29T14:23:02Z
@poppybell8217,The cherries!!! Lmao!!!,7,2021-11-27T03:56:57Z,2021-11-27T03:59:50Z
@ADMETC83,Bring me on your TV show John.,1,2021-11-25T15:23:05Z,2021-11-25T15:23:05Z
@ADMETC83,"60 days is not prison, its jail. Prison is 365 days or more. Facts",2,2021-11-25T15:20:30Z,2021-11-25T15:20:30Z
@JDean-oe1ux,WTF is up with the end of this video?!?!,20,2021-11-21T22:01:11Z,2021-11-21T22:01:11Z
@fathertedcrilley3988,what,2,2021-11-21T13:37:44Z,2021-11-21T13:37:44Z
@TheDrogoBoffin,"""We're in hell""

Switches to some sexy ass cherries.",126,2021-11-18T11:28:19Z,2021-11-18T11:28:40Z
